City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,bardai,11.65,7.2333,21.04,92,88,3.77,NG,1722820054
1,monte santo de minas,-21.1897,-46.9803,19.04,62,93,1.67,BR,1722820608
2,iskateley,67.6803,53.1512,6.19,74,89,6.33,RU,1722820402
3,rio grande,-32.035,-52.0986,13.86,96,100,8.29,BR,1722820132
4,xilin hot,43.9667,116.0333,23.44,45,0,3.4,CN,1722820633
5,port-aux-francais,-49.35,70.2167,1.82,67,10,7.32,TF,1722820309
6,waitangi,-43.9535,-176.5597,11.01,74,100,1.34,NZ,1722820124
7,pangai,-19.8,-174.35,25.06,78,75,2.57,TO,1722820637
8,olonkinbyen,70.9221,-8.7187,5.99,98,100,3.16,SJ,1722820487
9,fomboni,-12.28,43.7425,24.74,66,7,4.26,KM,1722820639
10,akureyri,65.6835,-18.0878,11.96,71,100,3.6,IS,1722820640
11,codrington,-38.2667,141.9667,11.3,56,7,2.91,AU,1722820642
12,kone,-21.0595,164.8658,25.12,40,0,3.77,NC,1722820643
13,belmonte,-15.8631,-38.8828,22.02,88,59,2.4,BR,1722820644
14,troina / draginai,37.7854,14.5985,21.2,72,6,1.58,IT,1722820645
15,smithers,54.7804,-127.1743,27.91,23,36,2.0,CA,1722820052
16,ribeira grande,38.5167,-28.7,24.87,95,16,2.24,PT,1722820405
17,arraial do cabo,-22.9661,-42.0278,22.48,90,0,11.11,BR,1722820649
18,margaret river,-33.95,115.0667,15.93,78,98,6.85,AU,1722820616
19,papatowai,-46.5619,169.4708,11.15,62,12,2.17,NZ,1722820579
20,angaur state,6.906,134.13,28.8,74,15,5.12,PW,1722820653
21,richards bay,-28.783,32.0377,19.96,68,100,7.49,ZA,1722820655
22,deschutes river woods,43.9915,-121.3584,30.07,36,40,5.66,US,1722820656
23,afaahiti,-17.75,-149.2833,26.93,74,6,5.05,PF,1722820658
24,iqaluit,63.7506,-68.5145,5.85,93,75,1.54,CA,1722820120
25,grytviken,-54.2811,-36.5092,-1.39,84,100,4.67,GS,1722820557
26,tazovsky,67.4667,78.7,7.47,68,97,5.87,RU,1722820075
27,ust-nera,64.5667,143.2,16.11,52,43,1.8,RU,1722820663
28,labytnangi,66.6572,66.4183,9.35,61,100,9.14,RU,1722820664
